"pid","BW","LG","MG","PL","SOL"
10973699,372.00000,761,685,296,152
10984461,362.00000,854,630,291,156
11004835,407.00000,887,686,342,73
11005564,392.00000,764,619,297,130
11025670,374.00000,845,631,320,156
11037849,365.00000,816,617,327,158
11054859,383.00000,804,630,313,140
11056983,406.00000,871,612,323,141
11068051,387.00000,895,673,301,160
11083522,374.00000,,,,
11098392,391.00000,815,681,297,146
11108886,387.00000,884,632,333,168
11154993,425.00000,851,600,312,135
11161698,411.00000,827,578,330,147
11188383,382.00000,782,552,286,164
11209488,396.00000,881,658,340,149
11215968,398.00000,809,613,292,138
11222662,379.50000,775,631,313,158
11236612,430.00000,865,627,322,158
11246251,369.00000,878,636,320,170
11266953,366.00000,843,636,301,147
11267682,408.80000,836,628,306,138
11322888,430.00000,815,636,321,152
11362324,385.00000,815,636,321,152
11372044,219.10000,500,367,179,71
11373016,230.00000,596,414,205,87
11394870,233.50000,498,376,162,75
11403969,224.40000,529,383,188,85
11404345,232.50000,556,359,193,75
11422408,235.50000,538,387,185,87
11435496,234.00000,565,396,212,92
11436468,230.40000,595,392,208,81
11446935,217.20000,509,381,188,76
11454601,238.30000,601,396,209,88
11464089,231.00000,586,413,204,96
11473150,233.00000,530,414,203,97
11484357,233.50000,529,375,191,81
11514361,254.00000,529,376,191,85
11515929,228.40000,558,405,196,85
11535601,229.00000,561,409,204,96
11549076,224.00000,543,47,192,90
11558733,222.00000,550,386,199,73
11569859,233.70000,605,461,222,103
11577282,232.30000,540,409,211,84
11583096,232.00000,579,412,207,86
11596155,255.70000,,,,
11614668,237.60000,558,406,189,70
11616601,251.00000,576,438,220,89
11621443,237.00000,558,428,203,96
11623578,228.50000,527,377,210,72
11624388,398.80000,885,646,333,167
11634502,386.00000,851,634,336,154
11652160,389.00000,864,653,348,179
11658282,385.90000,868,614,337,161
11672943,411.00000,990,640,359,169
11674997,411.00000,902,643,334,172
11677074,394.00000,897,631,336,151
11680024,417.50000,889,652,332,155
11683635,387.00000,771,625,300,155
11685921,374.00000,770,600,293,132
11723521,372.00000,864,669,337,148
11728590,401.80000,833,644,329,152
11733837,388.70000,805,663,303,148
11775599,406.10000,925,651,341,164
11781726,418.50000,815,635,210,153
11821531,380.00000,835,638,314,163
11822856,401.00000,921,745,376,151
11834439,204.40000,550,381,205,78
11854030,204.00000,528,357,194,75
11854707,207.70000,548,353,187,75
11864699,228.00000,563,406,205,71
11877758,198.20000,535,371,184,77
11885696,228.00000,578,442,207,86
11908653,218.20000,555,410,201,85
11916168,230.00000,542,392,195,82
11965533,227.60000,572,433,200,84
11968125,210.80000,540,420,194,82
11999942,260.00000,580,423,203,88
12042110,218.00000,524,363,204,76
12049980,214.80000,542,395,195,75
12051373,217.90000,532,404,198,75
12064009,224.00000,568,407,209,75
12069825,398.00000,847,637,322,142
12083496,362.70000,786,623,300,138
12086401,379.30000,791,610,313,139
12092568,365.30000,814,586,300,145
12111457,407.60000,854,674,346,146
12119512,398.50000,853,623,351,151
12123544,397.80000,876,742,369,146
12132101,381.50000,813,653,300,131
12137928,400.80000,857,606,328,142
12141607,420.00000,857,636,308,157
12142255,404.60000,930,650,338,142
12165468,447.80000,841,663,334,146
12167592,387.30000,895,642,309,158
12178950,423.40000,877,658,345,149
12179094,375.00000,865,622,318,155
12194808,436.60000,893,716,353,148
12229458,392.20000,790,635,316,140
12251895,424.00000,922,685,353,159
12256269,423.10000,881,624,333,157
12267708,424.50000,892,647,336,155
12268356,371.30000,793,593,303,133
12274593,406.30000,905,653,341,143
12278823,421.00000,905,699,338,136
12284394,401.40000,892,685,338,158
12295914,404.70000,866,641,342,150
12307947,382.50000,851,616,336,133
12319287,405.60000,856,655,347,138
12326658,406.40000,759,571,316,131
12330418,382.40000,886,653,318,132
12351172,240.00000,561,387,200,80
12420166,228.60000,572,413,214,87
12444189,213.00000,561,413,206,86
12475734,232.20000,514,364,199,77
12477354,211.10000,553,392,208,82
12485454,211.60000,543,375,191,78
12491853,216.20000,544,377,186,81
12515469,211.50000,525,385,194,84
12516007,219.80000,574,406,196,78
12527556,196.60000,515,373,195,81
12530263,196.20000,513,353,173,70
12563862,225.50000,541,388,210,87
12565059,207.00000,513,375,186,76
12574716,196.30000,517,349,167,71
12575798,223.00000,605,401,195,84
12576689,251.30000,608,452,212,89
12587613,231.00000,624,413,202,82
12592374,201.50000,520,357,161,66
12612316,227.30000,585,411,224,84
12622389,205.50000,558,387,198,78
12626880,231.00000,557,374,198,84
12634476,227.30000,587,389,208,84
12643033,244.40000,582,414,205,90
12644358,204.50000,559,376,178,79
12644781,219.10000,518,389,194,69
12651567,213.20000,550,400,195,82
12656526,220.20000,525,396,203,72
12667560,231.50000,537,379,198,81
12688134,235.20000,590,400,206,85
12700797,215.00000,575,359,212,83

