"participantGUID","visitGUID","d_visit","days_visit","staffID","siteGUID","siteID","pid","visitcode","formGUID","FormName","versionGUID","versionNbr","anesthesiaid","t_anesthesia","anesthesiacomments","bloodtype","bloodtube","bloodcomplete","bloodtechid","t_bloodstart","t_bloodstop","t_edtafill","bloodcomments","uterustype","uterustechid","uteruscomplete","t_uterusstart","t_uterusstop","uterusweight","uteruscomments","t_death","deathtype"
"0559B193-BED3-4170-B045-10A2B6441CB6","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","05SEP2018",92,1333,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10026355,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"13:27:21",,"EDTA","Draw",1,1333,"13:29:45","13:30:02","13:30:12",,,,,,,,,"13:37:01",2
"85A6A5C8-50CC-4CA1-96EC-D3860C0FEE39","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","05SEP2018",92,1333,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10026436,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"14:02:54",,"EDTA","Draw",2,1333,"14:07:41","14:08:55","14:09:15",,,,,,,,,"14:16:04",2
"0B560107-9C5F-4C50-AF24-E8231971C6F2","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","06SEP2018",93,1333,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10026517,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"11:39:16",,"EDTA","Draw",1,1333,"11:42:11","11:42:28","11:42:41",,,,,,,,,"11:48:13",2
"90CFE5A4-76FE-4458-A2B1-A66F0B60118E","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","06SEP2018",93,1333,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10026789,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:05:08",,"EDTA","Draw",1,1333,"12:08:41","12:09:04","12:09:24",,,,,,,,,"12:15:20",2
"B68FB52A-C55C-4C68-9F0D-D786C85CF0AD","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","06SEP2018",93,1333,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10026940,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:31:50",,"EDTA","Draw",2,1333,"12:35:21","12:36:54","12:37:03",,,,,,,,,"12:42:30",2
"0417F3E1-9068-41B7-8B54-3537017D8E3E","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","06SEP2018",93,1424,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10027084,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:58:07",,"EDTA","Draw",1,1333,"13:00:02","13:00:35","13:00:48",,,,,,,,,"13:06:13",2
"3B99FF4A-6EA1-4E23-9F34-46DDCF1C2A1F","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","06SEP2018",93,1333,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10027165,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"13:36:56",,"EDTA","Draw",1,1333,"13:39:19","13:39:38","13:40:03",,,,,,,,,"13:45:32",2
"EF759D30-BE9E-42A8-8A8E-4ACD6F2FD2D4","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","06SEP2018",93,1333,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10027246,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"14:03:35",,"EDTA","Draw",1,1333,"14:05:21","14:05:36","14:05:54",,,,,,,,,"14:11:34",2
"F0D83B29-8EFA-4CDE-B1AA-2358AC220ECF","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","07SEP2018",94,1333,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10027327,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"11:32:50",,"EDTA","Draw",1,1333,"11:35:45","11:36:10","11:36:29",,,,,,,,,"11:41:40",2
"6EA07A05-8ECB-4383-848B-124E8E77A92F","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","07SEP2018",94,1333,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10027408,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"11:55:35",,"EDTA","Draw",1,1333,"11:59:25","11:59:53","12:00:13",,,,,,,,,"12:05:55",2
"FCE9ABE6-B60B-4934-BAE5-56AF8B11ECEC","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","07SEP2018",94,1333,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10027599,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:21:07",,"EDTA","Draw",2,1333,"12:24:12","12:24:58","12:51:11",,,,,,,,,"12:30:16",2
"DAF2EDDB-BB93-49C7-A69A-CCFAF10C3220","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","07SEP2018",94,1333,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10027831,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:46:30",,"EDTA","Draw",1,1333,"12:49:42","12:49:58","12:50:12",,,,,,,,,"12:56:12",2
"ED46274E-6A2A-4723-8985-CD1C145BE005","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","07SEP2018",94,1333,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10027912,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"13:12:21",,"EDTA","Draw",1,1333,"13:14:42","13:14:57","13:15:16",,,,,,,,,"13:21:56",2
"1628FB23-6F66-47D4-8D82-63C87726F0FD","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","01OCT2018",91,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10043527,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"11:41:24",,"EDTA","Draw",1,1333,"11:43:28","11:43:47","11:44:02",,,,,,,,,"11:50:21",2
"261AAAD2-3AFA-446B-A6CA-751EE5FCCCE7","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","01OCT2018",91,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10043608,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:04:35",,"EDTA","Draw",2,1333,"12:07:32","12:08:26","12:08:48",,,,,,,,,"12:14:24",2
"85CCE78A-1971-429B-8E08-3BF321D240A7","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","05OCT2018",95,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10043799,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"11:35:28",,"EDTA","Draw",4,1333,"11:39:19",,,,,,,,,,,"11:46:00",2
"69FD4884-786D-4F2A-97B1-6174FBD25D60","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","05OCT2018",95,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10043950,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"11:57:17",,"EDTA","Draw",2,1333,"12:00:01","12:00:39","12:00:58",,,,,,,,,"12:05:16",2
"E8FC744B-81F7-4C16-916F-54E57305ADE1","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","01OCT2018",91,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10044094,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:28:58",,"EDTA","Draw",2,1333,"12:31:40","12:33:08","12:33:22",,,,,,,,,"12:38:34",2
"9CA9F9C5-E5D8-45C8-863C-81B50B2A0E0B","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","01OCT2018",91,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10044175,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:51:21",,"EDTA","Draw",4,1333,,,,"Not possible to collect blood from this animal.",,,,,,,,"13:01:59",2
"0D5071F5-D166-4CF1-BE8B-EB4DF6E04C0E","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","01OCT2018",91,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10044256,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"13:23:38",,"EDTA","Draw",1,1333,"13:26:48","13:27:10","13:27:33",,,,,,,,,"13:32:50",2
