"participantGUID","d_visit","days_visit","staffID","siteGUID","siteID","pid","formGUID","FormName","versionGUID","versionNbr","d_treadmillbegin","days_treadmillbegin","d_treadmillcomplete","days_treadmillcomplete","activity_score","compliant","weight","fat","lean","comments"
"BC49E4EF-E2FE-4269-BAF0-461F768BD95D","27JUN2018",22,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10023259,"B5AB1E0B-61EE-4556-A81D-CEE691625E75","Animal Familiarization","F3C3114E-9914-4F0A-84E4-B074FD95524D",2,"14JUN2018",9,"27JUN2018",22,3.00000,1,333.00000,,,
"0BD282C7-7832-4581-9089-08A32D557034","27JUN2018",22,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10024735,"B5AB1E0B-61EE-4556-A81D-CEE691625E75","Animal Familiarization","F3C3114E-9914-4F0A-84E4-B074FD95524D",2,"14JUN2018",9,"27JUN2018",22,3.00000,1,327.20000,,,
"5DD59E08-55A4-4681-A7AD-BC72829182BF","27JUN2018",22,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10024816,"B5AB1E0B-61EE-4556-A81D-CEE691625E75","Animal Familiarization","F3C3114E-9914-4F0A-84E4-B074FD95524D",2,"14JUN2018",9,"27JUN2018",22,3.00000,1,319.70000,,,
"1F0F7A2E-D286-4BBE-8A73-A9FCE8B92D4A","27JUN2018",22,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10025030,"B5AB1E0B-61EE-4556-A81D-CEE691625E75","Animal Familiarization","F3C3114E-9914-4F0A-84E4-B074FD95524D",2,"14JUN2018",9,"27JUN2018",22,3.00000,1,315.30000,,,
"BBC941A6-1987-449A-8854-1A5CBF0A00A8","27JUN2018",22,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10025383,"B5AB1E0B-61EE-4556-A81D-CEE691625E75","Animal Familiarization","F3C3114E-9914-4F0A-84E4-B074FD95524D",2,"14JUN2018",9,"27JUN2018",22,4.00000,1,316.50000,,,
"0655B62B-238D-4BA6-90BC-6938C47696E7","27JUN2018",22,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10025464,"B5AB1E0B-61EE-4556-A81D-CEE691625E75","Animal Familiarization","F3C3114E-9914-4F0A-84E4-B074FD95524D",2,"14JUN2018",9,"27JUN2018",22,4.00000,1,316.40000,,,
"D453E0D3-5E7D-47B9-868A-49A17E82E461","27JUN2018",22,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10025545,"B5AB1E0B-61EE-4556-A81D-CEE691625E75","Animal Familiarization","F3C3114E-9914-4F0A-84E4-B074FD95524D",2,"14JUN2018",9,"27JUN2018",22,4.00000,1,345.30000,,,
"955498F4-70A0-4D50-A2BA-619A8FED8FEF","27JUN2018",22,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10025626,"B5AB1E0B-61EE-4556-A81D-CEE691625E75","Animal Familiarization","F3C3114E-9914-4F0A-84E4-B074FD95524D",2,"14JUN2018",9,"27JUN2018",22,4.00000,1,315.60000,,,
"CFE06932-9314-4BCC-B2D9-73883D5FCDFB","27JUN2018",22,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10025707,"B5AB1E0B-61EE-4556-A81D-CEE691625E75","Animal Familiarization","F3C3114E-9914-4F0A-84E4-B074FD95524D",2,"14JUN2018",9,"27JUN2018",22,3.00000,1,354.30000,,,
"2AD83108-ED2F-4072-AC16-3A54A5EC657A","27JUN2018",22,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10025898,"B5AB1E0B-61EE-4556-A81D-CEE691625E75","Animal Familiarization","F3C3114E-9914-4F0A-84E4-B074FD95524D",2,"14JUN2018",9,"27JUN2018",22,4.00000,1,339.40000,,,
