"recid","FormName","formguid","versionguid","versionnbr","siteguid","siteid","environmentguid","environmentdateentered","environmenttemp","environmenthumidity"
456,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"33B196F0-9360-4588-9757-2C96C5E0F52E","28JUN2018:00:00:00.000",22.1,60.3
457,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"DB40BE89-F4AB-48B7-A217-4C9DEC5F1474","29JUN2018:00:00:00.000",22.1,63.8
458,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"869E695F-7DCB-42DC-AD4A-C8AB2E76CBE2","30JUN2018:00:00:00.000",22.2,65.0
459,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"2CAA03EE-0185-44D7-A90C-BE258D0807C1","01JUL2018:00:00:00.000",22.3,58.2
460,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"E259F8B9-292A-4322-AFF3-303AC17F7134","02JUL2018:00:00:00.000",22.2,54.3
461,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"DEB4E7E3-BD1A-4342-8683-65E59A785AEC","03JUL2018:00:00:00.000",22.2,59.1
462,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"CB9D8D19-6B78-4032-9C95-75CBD94F472A","04JUL2018:00:00:00.000",22.2,63.0
463,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"F992EE3B-BD15-46FA-A87D-A024C3A3370F","05JUL2018:00:00:00.000",22.2,60.0
464,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"1E2065B0-DC44-4D1F-8B60-AD145A7DB91D","06JUL2018:00:00:00.000",22.2,53.9
465,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"A88E533D-473E-4D56-BAD5-346052A1B100","07JUL2018:00:00:00.000",22.2,52.9
676,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"69E6EDBA-F906-4325-8758-8D11E4DAA953","08JUL2018:00:00:00.000",22.3,53.8
677,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"2EE44A6D-F3FB-45D9-98CC-DF26AAFD1B6E","09JUL2018:00:00:00.000",22.2,57.7
678,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"806AD77E-DFB9-4AF4-8FEC-DF1F9998E721","10JUL2018:00:00:00.000",22.2,59.3
679,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"26EFB902-D9C5-4186-A722-BE7196712F21","11JUL2018:00:00:00.000",22.2,55.4
680,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"3DED0EAA-B5B7-457E-B507-90C6C5288960","12JUL2018:00:00:00.000",22.2,59.4
681,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"530F1B6E-0159-4EC2-857F-6E4FFC9887B9","13JUL2018:00:00:00.000",22.2,60.7
682,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"ED0D209E-A0CC-4B66-9A67-E47D105FD419","14JUL2018:00:00:00.000",22.3,61.1
683,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"2D963DA7-8C15-4070-B0EE-2B5A270BCDD0","15JUL2018:00:00:00.000",22.1,59.3
684,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"19F8AC81-C148-479C-A99A-B22F80DCA3C4","16JUL2018:00:00:00.000",22.1,61.3
686,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"E4F6C140-86C4-4C40-BD84-06A1929E4C46","18JUL2018:00:00:00.000",22.3,63.5
687,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"6A0BF714-86B3-45DA-8B7D-4D31B2C9F227","17JUL2018:00:00:00.000",22.2,63.3
688,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"E8A557DB-CC92-4DDD-A518-3448D14BEC63","19JUL2018:00:00:00.000",22.2,64.4
689,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"58550EE9-AE1C-42E0-BD44-7EBDCA8F0615","20JUL2018:00:00:00.000",22.2,64.7
690,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"9F5D42C1-7282-4987-9B88-BAD591C64892","21JUL2018:00:00:00.000",22.3,64.5
