"versionNbr (Form Version Number)","Rule Version Specific (0=no,1=yes)","Form Name (* indicates multiple forms involved)","Field Name (* indicates multiple fields involved)","Data Capture Rules Sequence","Rule Description","Rule Display Message","Rule Definition","Fields Involved","formGUID","fieldGUID","versionGUID"
0,0,"Animal Training","*",999,"Day 7 date is missing.","Day 7 date is missing.","control=0 and (day7date_rtra=. or day7_weight_rtra=. or day7_posttrainlact_rtra=. or day7_score_rtra=. or day7_timeontreadmill_rtra=. or day7_treadmillincline_rtra=. or day7_treadmillspeed_rtra=.) and day7date_rtra =.","DAY7DATE_RTRA|DAY7_WEIGHT_RTRA|DAY7_POSTTRAINLACT_RTRA|DAY7_SCORE_RTRA|DAY7_TIMEONTREADMILL_RTRA|DAY7_TREADMILLINCLINE_RTRA|DAY7_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Day 7 score is missing.","Day 7 score is missing.","control=0 and (day7date_rtra=. or day7_weight_rtra=. or day7_posttrainlact_rtra=. or day7_score_rtra=. or day7_timeontreadmill_rtra=. or day7_treadmillincline_rtra=. or day7_treadmillspeed_rtra=.) and day7_score_rtra =.","DAY7DATE_RTRA|DAY7_WEIGHT_RTRA|DAY7_POSTTRAINLACT_RTRA|DAY7_SCORE_RTRA|DAY7_TIMEONTREADMILL_RTRA|DAY7_TREADMILLINCLINE_RTRA|DAY7_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Day 8 Time on Treadmill is missing.","Day 8 Time on Treadmill is missing.","control=0 and (day8date_rtra=. or day8_weight_rtra=. or day8_posttrainlact_rtra=. or day8_score_rtra=. or day8_timeontreadmill_rtra=. or day8_treadmillincline_rtra=. or day8_treadmillspeed_rtra=.) and day8_timeontreadmill_rtra =.","DAY8DATE_RTRA|DAY8_WEIGHT_RTRA|DAY8_POSTTRAINLACT_RTRA|DAY8_SCORE_RTRA|DAY8_TIMEONTREADMILL_RTRA|DAY8_TREADMILLINCLINE_RTRA|DAY8_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Day 8 Treadmill Incline is missing.","Day 8 Treadmill Incline is missing.","control=0 and (day8date_rtra=. or day8_weight_rtra=. or day8_posttrainlact_rtra=. or day8_score_rtra=. or day8_timeontreadmill_rtra=. or day8_treadmillincline_rtra=. or day8_treadmillspeed_rtra=.) and day8_treadmillincline_rtra =.","DAY8DATE_RTRA|DAY8_WEIGHT_RTRA|DAY8_POSTTRAINLACT_RTRA|DAY8_SCORE_RTRA|DAY8_TIMEONTREADMILL_RTRA|DAY8_TREADMILLINCLINE_RTRA|DAY8_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Day 8 Treadmill Speed is missing.","Day 8 Treadmill Speed is missing.","control=0 and (day8date_rtra=. or day8_weight_rtra=. or day8_posttrainlact_rtra=. or day8_score_rtra=. or day8_timeontreadmill_rtra=. or day8_treadmillincline_rtra=. or day8_treadmillspeed_rtra=.) and day8_treadmillspeed_rtra =.","DAY8DATE_RTRA|DAY8_WEIGHT_RTRA|DAY8_POSTTRAINLACT_RTRA|DAY8_SCORE_RTRA|DAY8_TIMEONTREADMILL_RTRA|DAY8_TREADMILLINCLINE_RTRA|DAY8_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Day 8 date is missing.","Day 8 date is missing.","control=0 and (day8date_rtra=. or day8_weight_rtra=. or day8_posttrainlact_rtra=. or day8_score_rtra=. or day8_timeontreadmill_rtra=. or day8_treadmillincline_rtra=. or day8_treadmillspeed_rtra=.) and day8date_rtra =.","DAY8DATE_RTRA|DAY8_WEIGHT_RTRA|DAY8_POSTTRAINLACT_RTRA|DAY8_SCORE_RTRA|DAY8_TIMEONTREADMILL_RTRA|DAY8_TREADMILLINCLINE_RTRA|DAY8_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Day 8 score is missing.","Day 8 score is missing.","control=0 and (day8date_rtra=. or day8_weight_rtra=. or day8_posttrainlact_rtra=. or day8_score_rtra=. or day8_timeontreadmill_rtra=. or day8_treadmillincline_rtra=. or day8_treadmillspeed_rtra=.) and day8_score_rtra =.","DAY8DATE_RTRA|DAY8_WEIGHT_RTRA|DAY8_POSTTRAINLACT_RTRA|DAY8_SCORE_RTRA|DAY8_TIMEONTREADMILL_RTRA|DAY8_TREADMILLINCLINE_RTRA|DAY8_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Day 9 Time on Treadmill is missing.","Day 9 Time on Treadmill is missing.","control=0 and (day9date_rtra=. or day9_weight_rtra=. or day9_posttrainlact_rtra=. or day9_score_rtra=. or day9_timeontreadmill_rtra=. or day9_treadmillincline_rtra=. or day9_treadmillspeed_rtra=.) and day9_timeontreadmill_rtra =.","DAY9DATE_RTRA|DAY9_WEIGHT_RTRA|DAY9_POSTTRAINLACT_RTRA|DAY9_SCORE_RTRA|DAY9_TIMEONTREADMILL_RTRA|DAY9_TREADMILLINCLINE_RTRA|DAY9_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Day 9 Treadmill Incline is missing.","Day 9 Treadmill Incline is missing.","control=0 and (day9date_rtra=. or day9_weight_rtra=. or day9_posttrainlact_rtra=. or day9_score_rtra=. or day9_timeontreadmill_rtra=. or day9_treadmillincline_rtra=. or day9_treadmillspeed_rtra=.) and day9_treadmillincline_rtra =.","DAY9DATE_RTRA|DAY9_WEIGHT_RTRA|DAY9_POSTTRAINLACT_RTRA|DAY9_SCORE_RTRA|DAY9_TIMEONTREADMILL_RTRA|DAY9_TREADMILLINCLINE_RTRA|DAY9_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Day 9 Treadmill Speed is missing.","Day 9 Treadmill Speed is missing.","control=0 and (day9date_rtra=. or day9_weight_rtra=. or day9_posttrainlact_rtra=. or day9_score_rtra=. or day9_timeontreadmill_rtra=. or day9_treadmillincline_rtra=. or day9_treadmillspeed_rtra=.) and day9_treadmillspeed_rtra =.","DAY9DATE_RTRA|DAY9_WEIGHT_RTRA|DAY9_POSTTRAINLACT_RTRA|DAY9_SCORE_RTRA|DAY9_TIMEONTREADMILL_RTRA|DAY9_TREADMILLINCLINE_RTRA|DAY9_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
